Category,Prop._SNPs,Prop._h2,Enrichment,Enrichment_p,Coefficient,Cluster_SLDSC,Cluster_num
WeakEnhancer_Hoffman.bedL2_0,0.022830254868821568,0.03271198554961275,1.5379569750059623,0.447024076960211,-1.045812249604201e-07,sldsc_v157,157
WeakEnhancer_Hoffman.extend.500.bedL2_0,0.09579713534942313,0.20046402893227888,2.113998591468302,0.4416972530575201,8.079805872846154e-08,sldsc_v157,157
baseL2_0,1.0,0.9999999999999999,0.9999999999999999,,-2.1096274219050883e-08,sldsc_v157,157
CTCF_Hoffman.bedL2_0,0.025340469692189074,-0.010233697056082692,-0.554629430819806,0.4863701262351023,-1.5393398189566126e-07,sldsc_v158,158
CTCF_Hoffman.extend.500.bedL2_0,0.07524070256931667,0.08579108586643384,1.0896829365306653,0.48316516138069954,4.4068156640863445e-08,sldsc_v158,158
Coding_UCSC.bedL2_0,0.015989750474149925,0.08619479289064308,5.244703166248639,0.44020111804563467,7.552991255826952e-08,sldsc_v158,158
Coding_UCSC.extend.500.bedL2_0,0.07047274473805283,0.16026626068187166,2.349489026681528,0.4529076764267923,-4.485115901510035e-08,sldsc_v158,158
Conserved_LindbladToh.bedL2_0,0.02568411716520341,0.31281306864736236,12.167677211576175,0.08350305467943145,6.00387518308494e-07,sldsc_v158,158
Conserved_LindbladToh.extend.500.bedL2_0,0.3308069573919402,0.7171641023592624,2.1665591877321435,0.048771609156088365,3.856515958191132e-08,sldsc_v158,158
DGF_ENCODE.bedL2_0,0.14043687146115932,0.3083554513712772,2.2758496425157393,0.3922041047866575,7.972149196957335e-08,sldsc_v158,158
DGF_ENCODE.extend.500.bedL2_0,0.5482775388825766,0.6461501190112819,1.1833302113448403,0.3429159052351769,-3.2390276941553284e-08,sldsc_v158,158
DHS_Trynka.bedL2_0,0.1687533989060883,0.32104305123806615,1.926592780877767,0.5297996715640519,-4.6346806048980364e-08,sldsc_v158,158
DHS_Trynka.extend.500.bedL2_0,0.5021191491336976,0.7457450472157311,1.494826558417181,0.3078246224082952,4.2435919473812914e-08,sldsc_v158,158
DHS_peaks_Trynka.bedL2_0,0.11264537054440811,0.18667834918264414,1.6223776616562453,0.648725829029657,-1.4206351407495977e-07,sldsc_v158,158
Enhancer_Andersson.bedL2_0,0.004670442694538236,-0.006725209482100859,-1.3708580880018617,0.41025931792552156,-2.8266710254194094e-07,sldsc_v158,158
Enhancer_Andersson.extend.500.bedL2_0,0.02043514507041183,0.019124895686864072,0.8551126500347955,0.47904586976648206,-1.4281605101689189e-08,sldsc_v158,158
Enhancer_Hoffman.bedL2_0,0.04493157127923169,0.046091068477270264,1.157433318141176,0.5357777921628851,-9.445713361533135e-08,sldsc_v158,158
Enhancer_Hoffman.extend.500.bedL2_0,0.09646265048000253,0.12385921626756868,1.317941358467978,0.49688935649061405,-2.7985241660629248e-08,sldsc_v158,158
FetalDHS_Trynka.bedL2_0,0.08630472356686913,0.3055096473623048,3.4540898181699675,0.3791794294728096,1.5667618405351848e-07,sldsc_v158,158
FetalDHS_Trynka.extend.500.bedL2_0,0.2900803217450267,0.569469132013716,1.9941600929588297,0.2608317416187085,1.0332767914867284e-08,sldsc_v158,158
H3K27ac_Hnisz.bedL2_0,0.4070893541044032,0.5471934554760434,1.3454084696429438,0.2398739932867512,6.4164086608667385e-09,sldsc_v158,158
H3K27ac_Hnisz.extend.500.bedL2_0,0.4385802732530907,0.5775126905384235,1.3261119046443475,0.319624275467685,-1.2016776865325384e-08,sldsc_v158,158
H3K27ac_PGC2.bedL2_0,0.2806064917691301,0.43817522847338564,1.5685770781366444,0.37336920253227296,-3.8251852764571606e-08,sldsc_v158,158
H3K27ac_PGC2.extend.500.bedL2_0,0.3491511107340045,0.5558727538412088,1.6012612345895951,0.29565070927921777,5.7062602014050674e-08,sldsc_v158,158
H3K4me1_Trynka.bedL2_0,0.4388719775440371,0.6610678394472,1.5243369217575735,0.26661344354123445,-6.043210947895887e-09,sldsc_v158,158
H3K4me1_Trynka.extend.500.bedL2_0,0.6209626874260189,0.8018213707299856,1.2978193083375429,0.26917291428353024,-4.686778633186309e-09,sldsc_v158,158
H3K4me1_peaks_Trynka.bedL2_0,0.17673323933007987,0.424508868829324,2.414265897449181,0.38422384690789096,4.734342651651588e-08,sldsc_v158,158
H3K4me3_Trynka.bedL2_0,0.14331090973753033,0.3670121360556895,2.5330297683943077,0.3833777684667688,3.096023377295171e-08,sldsc_v158,158
H3K4me3_Trynka.extend.500.bedL2_0,0.27142771453488906,0.41090165204341067,1.5338051577794636,0.4048569315617835,-3.969375490399019e-08,sldsc_v158,158
H3K4me3_peaks_Trynka.bedL2_0,0.044931534763474335,0.18932735009543222,4.769454208059717,0.3976632316210701,1.2189811043554738e-07,sldsc_v158,158
H3K9ac_Trynka.bedL2_0,0.13675069231218331,0.3215122893283776,2.3959673629077405,0.2847909543803877,-5.295242756746719e-08,sldsc_v158,158
H3K9ac_Trynka.extend.500.bedL2_0,0.24891948454256144,0.465468062746597,1.8622760981010336,0.2313692048669312,2.160292823906266e-08,sldsc_v158,158
H3K9ac_peaks_Trynka.bedL2_0,0.042520972158441764,0.22384998188256552,5.461713290028185,0.26611349804116363,2.226489819472738e-07,sldsc_v158,158
Intron_UCSC.bedL2_0,0.3947879394954932,0.5252727532380906,1.3343179346541996,0.22912880579671324,3.169915279015602e-07,sldsc_v158,158
Intron_UCSC.extend.500.bedL2_0,0.4054135335185732,0.560163583515324,1.3831624251252144,0.13726990831473992,-2.9462754926262065e-07,sldsc_v158,158
L2_1,0.11989079389635394,0.12244675027233916,1.0048812429935614,0.48355090196621037,-1.5307795434189835e-08,sldsc_v158,158
PromoterFlanking_Hoffman.bedL2_0,0.008692650791795391,0.035027423762903326,3.636029721102893,0.5446994674557353,1.0442228600852169e-07,sldsc_v158,158
